name,nig,h,m,s,dd,dm,ds,V,B,kkk
*  27 Mon,--,7,59,44.154,-3,40,46.5,4.934,6.137,
HD  65392,--,7,59,51.373,36,4,55.47,6.5,8.05,
HD  65810,--,7,59,52.05,-18,23,57.15,4.61,4.69,
HD  64307,--,8,0,11.739,73,55,4.51,5.347,6.777,
HD  66210,--,8,0,14.689,-48,58,53.44,5.996,6.033,
HD  66591,--,8,0,19.967,-63,34,2.84,4.806,4.639,
V* PY Pup,--,8,0,28.961,-48,52,18.36,6.107,6.013,
*   3 Cnc,--,8,0,47.307,17,18,31.33,5.588,6.904,
HD  65735,--,8,0,48.103,19,48,58.38,6.29,7.386,
HD  66441,--,8,0,49.938,-54,9,4.58,5.846,5.708,
* ome Cnc,--,8,0,55.873,25,23,34.22,5.853,6.881,
HD  65757,--,8,1,0.781,23,34,59.14,6.31,7.31,
HD  65938,--,8,1,3.402,-6,25,9.13,6.45,7.27,
*  28 Mon,--,8,1,13.336,-1,23,33.39,4.68,6.147,
HD  65900,--,8,1,13.898,4,52,47.53,5.64,5.647,
HD  65301,--,8,1,20.771,59,2,50.7,5.772,6.171,
V* V461 C,ar               ,8,1,23.043,-54,30,55.91,6.111,6.056,
*   5 Cnc,--,8,1,30.288,16,27,19.12,5.99,5.97,
HD  66607,--,8,1,31.567,-55,27,16.76,6.265,6.119,
HD  66358,--,8,1,37.526,-37,17,1.39,5.893,6.044,
*  53 Cam,--,8,1,42.431,60,19,27.8,6.008,6.177,
* ome02 C,nc               ,8,1,43.757,25,5,22.08,6.297,6.328,
HD  66011,--,8,1,50.73,8,54,50.37,6.209,6.777,
HD  65801,--,8,1,55.18,35,24,47.04,6.324,7.929,
HD  66435,--,8,2,6.134,-37,3,0.16,6.335,7.9,
HD  66141,--,8,2,15.937,2,20,4.45,4.38,5.63,
HD  66242,--,8,2,25.97,-6,20,13.69,6.325,6.93,
HD  65448,--,8,2,30.806,63,5,25.18,6.4,6.99,
*  54 Cam,--,8,2,35.784,57,16,25.06,6.49,7.11,
V* V336 P,up               ,8,2,44.781,-41,18,35.36,5.497,5.358,
HD  66598,--,8,3,4.161,-32,27,48.78,5.808,7.049,
HD  66812,--,8,3,29.606,-42,56,53.98,6.271,7.28,
* chi Gem,--,8,3,31.096,27,47,39.7,4.937,6.075,
* zet Pup,--,8,3,35.048,-40,0,11.33,2.25,1.98,
V* MZ Pup,--,8,4,16.19,-32,40,29.38,5.12,7.06,
HD  66885,--,8,4,32.639,-25,41,59.04,6.4,8.01,
*  14 Pup,--,8,4,41.418,-19,43,41.34,6.105,5.946,
HD  67249,--,8,4,42.4,-50,35,25.43,5.943,7.146,
HD  67536,--,8,4,42.932,-62,50,10.84,6.241,6.136,
HD  66552,--,8,4,45.303,18,50,31.28,6.21,6.16,
HD  64486,--,8,4,47.055,79,28,46.62,5.387,5.339,
HD  67364,--,8,5,3.709,-53,6,28.51,5.509,6.856,
