name,nig,h,m,s,dd,dm,ds,V,B,kkk
HD 224750,--,0,0,19.095,-44,17,26.03,6.32,7.089,
HD 224758,--,0,0,23.901,26,55,5.17,6.434,6.925,
HD 224784,--,0,0,30.887,59,33,34.85,6.177,7.211,
V* CG And,--,0,0,43.635,45,15,12,6.347,6.299,
* tau Phe,--,0,1,4.583,-48,48,35.55,5.698,6.62,
HD 224870,--,0,1,19.251,49,58,53.6,6.217,7.185,
HD 224865,--,0,1,20.12,-50,20,14.55,5.524,7.12,
* tet Oct,--,0,1,35.702,-77,3,56.61,4.783,6.049,
HD 224893,--,0,1,37.015,61,13,22.08,5.567,5.966,
HD 224890,--,0,1,39.457,73,36,42.65,6.492,6.681,
HD 224906,--,0,1,43.849,42,22,1.71,6.24,6.197,
*  29 Psc,--,0,1,49.447,-3,1,39.02,5.1,4.98,
*  30 Psc,--,0,1,57.615,-6,0,50.67,4.41,6.04,
*  85 Peg,--,0,2,10.341,27,4,54.48,5.75,6.42,
* zet Scl,--,0,2,19.93,-29,43,13.6,5.022,4.879,
*  31 Psc,--,0,2,24.167,8,57,24.57,6.325,6.497,
* c Psc  ,--,0,2,29.702,8,29,7.67,5.69,5.996,
HD 225009,--,0,2,36.092,66,5,56.27,5.842,6.912,
HD 225045,--,0,2,57.489,-20,2,45.18,6.238,6.753,
HD 225069,--,0,3,7.854,-24,8,42.52,6.443,7.635,
HD 225094,--,0,3,25.714,63,38,25.88,6.22,6.56,
*   2 Cet,--,0,3,44.388,-17,20,9.57,4.536,4.483,
V* V398 C,ep               ,0,3,51.64,66,42,43.87,6.323,7.934,
*   9 Cas,--,0,4,13.662,62,17,15.59,5.884,6.154,
HD 225197,--,0,4,19.791,-16,31,44.54,5.769,6.872,
HD 225200,--,0,4,20.317,-29,16,7.76,6.39,6.4,
*   3 Cet,--,0,4,30.118,-10,30,34.28,4.924,6.541,
HD 225218,--,0,4,36.587,42,5,33.11,6.12,6.27,
HD 225253,--,0,4,41.308,-71,26,12.81,5.585,5.477,
HD 225216,--,0,4,41.98,67,9,59.2,5.676,6.741,
HD 225239,--,0,4,53.725,34,39,34.8,6.11,6.74,
HD 225276,--,0,4,55.998,26,38,55.56,6.25,7.65,
HD 225292,--,0,5,1.186,27,40,29.23,6.462,7.419,
HD      6,--,0,5,3.823,0,30,10.93,6.298,7.39,
V* V567 C,as               ,0,5,6.151,61,18,50.29,5.791,5.71,
*  33 Psc,--,0,5,20.142,-5,42,27.43,4.61,5.65,
*  86 Peg,--,0,5,41.962,13,23,46.56,5.537,6.439,
HD    142,--,0,6,19.175,-49,4,30.68,5.76,6.3,
*  10 Cas,--,0,6,26.538,64,11,46.17,5.59,5.56,
HD    203,--,0,6,50.087,-23,6,27.15,6.173,6.547,
HD    256,--,0,7,18.262,-17,23,13.24,6.23,6.33,
*   4 Cet,--,0,7,44.111,-2,32,55.25,6.43,6.29,
HD    319,--,0,7,46.9,-22,30,30.81,5.923,6.055,
HD    344,--,0,8,3.487,-33,31,45.57,5.662,6.787,
*   5 Cet,--,0,8,12.096,-2,26,51.74,6.22,7.58,
HD    360,--,0,8,17.533,-8,49,26.8,5.98,7.014,
* alf And,--,0,8,23.26,29,5,25.55,2.06,1.95,
HD    371,--,0,8,32.865,63,12,14.52,6.42,7.422,
V* CF Cet,--,0,8,33.497,-17,34,41.36,6.13,7.8,
HD    417,--,0,8,52.136,25,27,46.74,6.246,7.227,
HD    434,--,0,9,0.16,28,14,51.14,6.47,6.7,
*  87 Peg,--,0,9,2.425,18,12,43.07,5.555,6.607,
HD    469,--,0,9,2.384,-54,0,6.96,6.33,7.07,
* bet Cas,--,0,9,10.685,59,8,59.21,2.27,2.61,
BD+78    ,1,0,9,20.174,79,42,52.36,6.047,6.24,
* eps Phe,--,0,9,24.639,-45,44,50.71,3.87,4.89,
HD    565,--,0,9,52.116,-62,17,48.46,6.33,6.48,
*  34 Psc,--,0,10,2.203,11,8,44.93,5.53,5.456,
* gam03 O,ct               ,0,10,2.177,-82,13,26.57,5.283,6.329,
HD    587,--,0,10,18.872,-5,14,54.92,5.844,6.828,
*  22 And,--,0,10,19.247,46,4,20.18,5.04,5.44,
HD    645,--,0,10,42.834,-12,34,47.64,5.849,6.861,
*   6 Cet,--,0,11,15.851,-15,28,4.74,4.89,5.38,
* kap02 S,cl               ,0,11,34.421,-27,47,59,5.404,6.756,
* tet Scl,--,0,11,44.021,-35,7,59.23,5.239,5.661,
HD    743,--,0,11,59.085,48,9,8.63,6.162,7.635,
HD    787,--,0,12,9.985,-17,56,17.7,5.265,6.74,
HD    874,--,0,13,9.502,16,55,17.24,6.5,7.56,
* gam Peg,--,0,13,14.151,15,11,0.94,2.84,2.61,
HD   1032,--,0,13,19.623,-84,59,38.32,5.77,7.49,
HD    895,--,0,13,23.913,26,59,14.98,6.277,6.952,
HD    942,--,0,13,42.244,-26,1,20.46,5.937,7.476,
HD    943,--,0,13,44.379,-26,17,5.87,6.119,7.612,
HD    952,--,0,14,2.278,33,12,21.75,6.25,6.24,
HD   1002,--,0,14,20.199,-27,31,53.1,6.46,7.1,
V* AD Cet,--,0,14,27.629,-7,46,49.9,5.12,6.74,
* chi Peg,--,0,14,36.165,20,12,24.12,4.8,6.38,
*   7 Cet,--,0,14,38.417,-18,55,58.31,4.46,6.12,
HD   1064,--,0,14,54.517,-9,34,10.43,5.749,5.67,
HD   1048,--,0,14,55.898,22,17,3.21,6.234,6.235,
HD   1089,--,0,14,58.262,-34,54,15.21,6.159,7.526,
*  35 Psc,--,0,14,58.84,8,49,15.46,6.01,6.32,
HD   1075,--,0,15,6.95,31,32,8.61,6.34,7.92,
HD   1083,--,0,15,10.565,27,17,0.39,6.342,6.332,
V* S Scl ,--,0,15,22.267,-32,2,42.96,6.2,9.98,
HD   1142,--,0,15,54.84,61,0,0.62,6.432,7.276,
HD   1187,--,0,16,8.867,-31,26,47.01,5.642,6.992,
CCDM J001,62+7657AB        ,0,16,13.94,76,57,2.71,6.389,6.323,
HD   1185,--,0,16,21.529,43,35,42.18,6.15,6.188,
*  36 Psc,--,0,16,34.041,8,14,24.55,6.121,7.042,
HD   1256,--,0,16,42.343,-20,12,36.22,6.491,6.38,
HD   1255,--,0,16,45.678,10,14,41.2,6.49,8.3,
HD   1239,--,0,16,57.043,61,31,59.46,5.737,6.634,
* tet And,--,0,17,5.499,38,40,53.89,4.61,4.67,
HD   1279,--,0,17,9.044,47,56,50.66,5.852,5.764,
HD   1343,--,0,17,32.703,-19,3,3.94,6.446,6.828,
V* AO Cas,--,0,17,43.063,51,25,59.12,6.14,6.01,
HD   1367,--,0,17,47.699,1,41,19.43,6.176,7.126,
HD   1388,--,0,17,58.869,-13,27,20.31,6.5,7.09,
HD   1419,--,0,18,17.247,11,12,22.38,6.045,7.087,
* sig And,--,0,18,19.657,36,47,6.81,4.52,4.57,
HD   1439,--,0,18,38.258,31,31,2.03,5.875,5.851,
HD   1461,--,0,18,41.867,-8,3,10.81,6.46,7.14,
*  26 And,--,0,18,42.169,43,47,28.11,6.11,6.03,
HD   1483,--,0,18,42.561,-43,14,8.05,6.328,7.541,
* iot Cet,--,0,19,25.674,-8,49,26.11,3.55,4.77,
HD   1527,--,0,19,41.559,40,43,46.07,6.34,7.524,
* zet Tuc,--,0,20,4.26,-64,52,29.25,4.23,4.8,
HD   1606,--,0,20,24.401,30,56,8.21,5.869,5.769,
HD   1601,--,0,20,30.928,48,58,7.08,6.47,7,
* d Psc  ,--,0,20,35.861,8,11,24.98,5.37,6.733,
* pi. Tuc,--,0,20,39.042,-69,37,29.71,5.499,5.45,
HD   1632,--,0,20,45.517,32,54,40.27,5.794,7.381,
* rho And,--,0,21,7.269,37,58,6.97,5.18,5.6,
HD   1801,--,0,21,28.778,-77,25,36.83,5.959,7.351,
* iot Scl,--,0,21,31.198,-28,58,53.3,5.167,6.169,
V* T Cet ,--,0,21,46.273,-20,3,28.88,5.74,7.32,
*  42 Psc,--,0,22,25.483,13,28,56.96,6.24,7.489,
*   9 Cet,--,0,22,51.788,-12,12,33.97,6.39,7.05,
HD   1879,--,0,23,4.391,-15,56,33.11,6.425,8.006,
HD   1976,--,0,24,15.653,52,1,11.7,5.58,5.459,
HD   2023,--,0,24,29.65,-2,13,8.62,6.067,7.285,
*  43 Psc,--,0,24,38.155,14,18,55.86,6.46,7.65,
*  12 Cas,--,0,24,47.505,61,49,51.8,5.377,5.375,
HD   2054,--,0,25,6.411,53,2,48.4,5.719,5.654,
*  44 Psc,--,0,25,24.208,1,56,22.89,5.77,6.616,
* bet Hyi,--,0,25,45.07,-77,15,15.29,2.79,3.41,
* kap Phe,--,0,26,12.202,-43,40,47.39,3.94,4.11,
* alf Phe,--,0,26,17.051,-42,18,21.55,2.37,3.46,
HD   2268,--,0,26,21.752,-18,41,37.08,6.266,7.861,
*  10 Cet,--,0,26,37.415,0,2,58.31,6.192,7.109,
HD   2363,--,0,27,14.708,-25,32,49.82,5.969,7.009,
HD   2358,--,0,27,31.069,16,1,31.74,6.432,6.669,
* eta Scl,--,0,27,55.698,-33,0,25.79,4.81,6.45,
*  46 Psc,--,0,27,58.466,19,30,50.53,6.38,7.38,
*  47 Psc,--,0,28,2.912,17,53,35.24,5.06,6.71,
*  48 Psc,--,0,28,12.705,16,26,42.19,6.039,7.616,
HD   2421,--,0,28,13.659,44,23,40.11,5.173,5.207,
HD   2475,--,0,28,21.095,-20,20,6.18,6.437,7.026,
HD   2490,--,0,28,26.522,-39,54,54.01,5.415,6.956,
HD   2529,--,0,28,43.127,-50,31,58.29,6.265,7.36,
HD   2507,--,0,28,56.663,36,53,58.9,6.273,7.196,
HD   2630,--,0,29,51.897,-14,51,50.79,6.131,6.513,
*  12 Cet,--,0,30,2.358,-3,57,26.38,5.72,7.28,
*  28 And,--,0,30,7.363,29,45,5.59,5.214,5.467,
HD   2648,--,0,30,8.686,4,51,36.4,6.5,6.94,
HD   2626,--,0,30,19.921,59,58,39.19,5.94,5.95,
HD   2696,--,0,30,22.655,-23,47,15.66,5.19,5.31,
HD   2726,--,0,30,26.087,-48,12,53.2,5.664,6.005,
V* BB Phe,--,0,30,27.825,-40,56,22.51,6.172,6.49,
* lam01 P,he               ,0,31,24.982,-48,48,12.68,4.77,4.79,
*  13 Cas,--,0,31,25.229,66,31,10.62,6.165,6.062,
HD   2767,--,0,31,25.638,33,34,53.89,5.878,7.015,
* bet01 T,uc               ,0,31,32.668,-62,57,29.59,4.289,4.249,
* bet02 T,uc               ,0,31,33.422,-62,57,56.13,4.514,4.649,
HD   2774,--,0,31,41.157,52,50,22.3,5.596,6.765,
*  51 Psc,--,0,32,23.784,6,57,19.72,5.679,5.663,
*  52 Psc,--,0,32,35.486,20,17,39.54,5.37,6.443,
* bet03 T,uc               ,0,32,43.906,-63,1,53.4,5.09,5.13,
HD   2942,--,0,32,49.086,28,16,48.87,6.33,7.32,
* kap Cas,--,0,32,59.991,62,55,54.42,4.16,4.3,
HD   2952,--,0,33,10.395,54,53,41.95,5.922,6.959,
HD   2904,--,0,33,19.266,70,58,54.67,6.38,6.33,
* tet Tuc,--,0,33,23.359,-71,15,58.48,6.109,6.359,
HD   3059,--,0,33,41.042,-29,33,29.8,5.541,6.806,
HD   3074,--,0,33,43.807,-35,0,7.47,6.4,7.02,
*  16 Cas,--,0,34,24.921,66,45,1.23,6.473,6.414,
HD   3158,--,0,34,27.832,-52,22,23.13,5.57,6.04,
HD   3166,--,0,34,55.363,13,22,16.1,6.39,7.53,
*  13 Cet,--,0,35,14.88,-3,35,34.24,5.201,5.748,
*  14 Cet,--,0,35,32.834,0,30,20.2,5.936,6.368,
HD   3303,--,0,35,33.339,-54,49,18.74,6.052,7.055,
* lam02 P,he               ,0,35,41.176,-48,0,3.27,5.51,5.948,
HD   3325,--,0,36,3.156,-14,58,22.92,6.444,7.507,
V* BG Cet,--,0,36,6.858,-22,50,32.41,6.06,6.35,
HD   3240,--,0,36,8.31,54,10,6.41,5.076,4.967,
HD   3283,--,0,36,27.344,60,19,34.37,5.792,6.053,
HD   3444,--,0,36,37.65,-65,7,28.01,6.413,7.687,
V* V428 A,nd               ,0,36,46.44,44,29,18.92,5.129,6.727,
*  53 Psc,--,0,36,47.31,15,13,54.18,5.863,5.714,
* pi. And,--,0,36,52.849,33,43,9.64,4.36,4.2,
* zet Cas,--,0,36,58.284,53,53,48.87,3.66,3.47,
HD   3411,--,0,37,7.19,24,0,50.9,6.16,7.35,
HD   3488,--,0,37,18.247,-54,23,37.75,6.403,7.401,
HD   3443,--,0,37,20.72,-24,46,2.18,5.57,6.28,
HD   3421,--,0,37,21.219,35,23,58.21,5.431,6.323,
HD   3457,--,0,37,30.492,3,8,7.27,6.407,7.77,
* eps And,--,0,38,33.346,29,18,42.31,4.38,5.25,
HD   3605,--,0,38,48.783,-25,6,28.14,6.41,7.9,
HD   3574,--,0,39,9.893,49,21,16.52,5.419,7.072,
* del And,--,0,39,19.675,30,51,39.68,3.28,4.56,
*  54 Psc,--,0,39,21.806,21,15,1.72,5.88,6.71,
HD   3440,--,0,39,47.248,82,29,37.55,6.389,6.935,
HD   3750,--,0,39,51.95,-44,47,46.65,5.998,7.141,
*  55 Psc,--,0,39,55.572,21,26,18.59,5.428,6.572,
HD   3823,--,0,40,25.67,-59,27,16.57,5.88,6.44,
HD   3794,--,0,40,28.583,-16,30,59.96,6.49,7.38,
* alf Cas,--,0,40,30.441,56,32,14.39,2.23,3.4,
HD   3795,--,0,40,32.796,-23,48,17.72,6.14,6.84,
HD   3807,--,0,40,42.371,-4,21,6.63,5.885,6.985,
*  32 And,--,0,41,7.184,39,27,31.19,5.33,6.22,
* mu. Phe,--,0,41,19.552,-46,5,6.02,4.59,5.56,
HD   3883,--,0,41,36.037,24,37,44.43,6.046,6.333,
* ksi Phe,--,0,41,46.397,-56,30,4.74,5.7,5.9,
HD   3856,--,0,42,3.42,66,8,51.34,5.821,6.866,
* ksi Cas,--,0,42,3.893,50,30,45.07,4.81,4.71,
* rho Tuc,--,0,42,28.372,-65,28,4.91,5.381,5.875,
HD   3924,--,0,42,31.042,58,45,12.29,6.171,6.161,
HD   4088,--,0,42,41.95,-60,15,46.11,5.98,7.3,
* lam01 S,cl               ,0,42,42.892,-38,27,48.54,6.113,6.097,
* eta Phe,--,0,43,21.238,-57,27,47.01,4.361,4.35,
* pi. Cas,--,0,43,28.069,47,1,28.38,4.949,5.12,
* bet Cet,--,0,43,35.371,-17,59,11.78,2.01,3.02,
HD   4145,--,0,43,50.085,-12,0,42.58,6.02,7.12,
* phi01 C,et               ,0,44,11.4,-10,36,34.38,4.767,5.773,
* lam02 S,cl               ,0,44,12.099,-38,25,18.06,5.96,7.06,
HD   4142,--,0,44,26.191,47,51,50.33,5.648,5.52,
* omi Cas,--,0,44,43.519,48,17,3.71,4.5,4.44,
HD   4247,--,0,44,44.397,-22,0,22.08,5.22,5.542,
HD   4293,--,0,44,57.053,-42,40,35.61,5.926,6.207,
HD   4304,--,0,44,59.942,-53,42,53.62,6.15,6.68,
HD   4222,--,0,45,17.173,55,13,17.03,5.41,5.423,
HD   4301,--,0,45,24.125,-4,37,44.97,6.16,7.82,
*  18 Cet,--,0,45,28.687,-12,52,50.91,6.15,6.76,
*  21 Cas,--,0,45,39.074,74,59,17.06,5.652,5.717,
HD   4338,--,0,45,41.707,-16,25,27.18,6.499,6.786,
HD   4391,--,0,45,45.593,-47,33,7.15,5.8,6.44,
HD   4335,--,0,46,10.811,44,51,41.4,6.024,5.954,
HD   4398,--,0,46,11.756,-22,31,19.57,5.5,6.48,
*  57 Psc,--,0,46,32.951,15,28,31.83,5.38,7.03,
HD   4362,--,0,46,42.459,59,34,28.34,6.41,7.463,
*  58 Psc,--,0,47,1.451,11,58,25.81,5.504,6.489,
*  59 Psc,--,0,47,13.626,19,34,43.34,6.101,6.359,
* zet And,--,0,47,20.325,24,16,1.84,4.06,5.18,
*  60 Psc,--,0,47,23.634,6,44,27.48,5.961,6.918,
HD   4585,--,0,47,43.221,-18,3,40.82,5.693,6.992,
*  23 Cas,--,0,47,46.053,74,50,51.26,5.413,5.338,
HD   4622,--,0,48,1.061,-21,43,21.1,5.57,5.51,
HD   4440,--,0,48,9.086,72,40,28.12,5.855,6.874,
*  62 Psc,--,0,48,17.41,7,17,59.75,5.912,7.026,
HD   4628,--,0,48,22.976,5,16,50.21,5.74,6.64,
* lam Hyi,--,0,48,35.419,-74,55,24.37,5.083,6.453,
* del Psc,--,0,48,40.944,7,35,6.29,4.44,5.95,
* nu. Cas,--,0,48,50.017,50,58,5.4,4.891,4.789,
HD   4737,--,0,48,56.728,-46,41,51.53,6.277,7.175,
* eta Cas,--,0,49,6.291,57,48,54.68,3.44,4.02,
HD   4732,--,0,49,13.95,-24,8,11.99,5.9,6.84,
HD   4730,--,0,49,25.617,-13,33,40.57,5.594,6.925,
HD   4772,--,0,49,33.431,-23,21,43.71,6.3,6.41,
* nu. And,--,0,49,48.847,41,4,44.08,4.53,4.38,
*  65 Psc,--,0,49,53.167,27,42,37.03,5.57,6.3,
V* AZ Phe,--,0,50,3.771,-43,23,41.92,6.476,6.764,
* phi02 C,et               ,0,50,7.589,-10,38,39.58,5.19,5.69,
V* GO And,--,0,50,18.266,45,0,8.14,6.15,6.16,
* rho Phe,--,0,50,41.187,-50,59,12.55,5.225,5.589,
HD   4775,--,0,50,43.604,64,14,51.28,5.362,5.868,
V* V526 C,as               ,0,50,57.395,51,30,28.92,6.36,6.65,
HD   4817,--,0,51,16.383,61,48,19.77,6.18,8.08,
HD   4928,--,0,51,18.323,3,23,6.07,6.368,7.449,
HD   4881,--,0,51,33.79,51,34,17.13,6.22,6.25,
* lam01 T,uc               ,0,52,24.52,-69,30,13.54,6.22,6.78,
HD   5098,--,0,52,40.625,-24,0,21.03,5.46,6.7,
*  20 Cet,--,0,53,0.495,-1,8,39.33,4.76,6.34,
HD   5015,--,0,53,4.196,61,7,26.3,4.8,5.34,
HD   5118,--,0,53,28.223,37,25,5.53,6.057,7.207,
V* BQ Tuc,--,0,53,37.878,-62,52,16.9,5.748,7.221,
HD   5128,--,0,53,47.599,52,41,21.46,6.31,6.49,
*  21 Cet,--,0,54,17.593,-8,44,26.39,6.161,7.086,
*  66 Psc,--,0,54,35.226,19,11,18.3,5.79,5.76,
HD   4853,--,0,54,53.13,83,42,26.68,5.59,5.68,
*  36 And,--,0,54,58.106,23,37,41.98,5.45,6.46,
* ups01 C,as               ,0,55,0.155,58,58,21.7,4.82,6.042,
* lam Tuc,--,0,55,0.311,-69,31,37.5,5.454,6.537,
HD   5273,--,0,55,5.205,48,40,42.68,6.31,8.01,
HD   5316,--,0,55,14.674,24,33,25.43,6.24,7.77,
HD   5384,--,0,55,42.4,-7,20,49.73,5.85,7.381,
HD   5445,--,0,55,55.537,-27,46,33.02,6.13,7.82,
* k Psc  ,--,0,55,58.51,27,12,33.77,6.1,6.23,
* phi03 C,et               ,0,56,1.489,-11,15,59.5,5.326,6.852,
HD   5418,--,0,56,9.12,13,57,7.05,6.44,7.42,
HD   5343,--,0,56,12.972,57,59,47.61,6.19,7.58,
* ups02 C,as               ,0,56,39.904,59,10,51.8,4.622,5.581,
* gam Cas,--,0,56,42.532,60,43,0.27,2.39,2.29,
* mu. And,--,0,56,45.198,38,29,57.39,3.87,3.99,
HD   5408,--,0,56,46.972,60,21,46.22,5.566,5.5,
HD   5357,--,0,56,55.144,68,46,32.3,6.386,6.732,
* eta And,--,0,57,12.4,23,25,3.54,4.42,5.36,
HD   5459,--,0,57,19.606,61,25,18.82,6.437,7.379,
HD   5526,--,0,57,39.645,45,50,21.76,6.086,7.118,
* h Psc  ,--,0,57,50.151,28,59,31.98,5.438,6.508,
HD   5612,--,0,57,54.511,13,41,45.1,6.283,7.191,
HD   5608,--,0,58,14.219,33,57,3.18,5.98,6.996,
HD   5641,--,0,58,18.891,21,24,16.18,6.46,6.52,
HD   5771,--,0,58,22.23,-60,41,46.46,6.235,6.317,
HD   5550,--,0,58,31.062,66,21,6.45,5.97,5.95,
* alf Scl,--,0,58,36.359,-29,21,26.82,4.27,4.09,
* phi04 C,et               ,0,58,43.868,-11,22,47.91,5.614,6.566,
V* WW Psc,--,0,59,49.687,6,28,59.61,6.14,7.81,
HD   5789,--,1,0,3.558,44,42,47.69,6.05,6.01,
HD   5715,--,1,0,31.003,70,58,58.76,6.4,6.513,
* ksi Scl,--,1,1,18.275,-38,54,59.5,5.582,6.773,
HD   6037,--,1,1,38.645,-16,15,56.06,6.47,7.68,
HD   6192,--,1,2,1.82,-57,0,8.6,6.1,7.028,
HD   6028,--,1,2,18.462,51,2,5.81,6.49,6.61,
* sig Scl,--,1,2,26.434,-31,33,7.21,5.501,5.586,
V* CC Tuc,--,1,2,42.907,-65,27,21.96,6.275,7.879,
* sig Psc,--,1,2,49.097,31,48,15.35,5.5,5.45,
HD   6245,--,1,2,49.19,-46,23,50.32,5.387,6.286,
*  39 And,--,1,2,54.254,41,20,42.77,5.932,6.104,
* eps Psc,--,1,2,56.609,7,53,24.49,4.28,5.24,
*  25 Cet,--,1,3,2.538,-4,50,11.76,5.408,6.517,
HD   6269,--,1,3,17.694,-29,31,33.05,6.283,7.213,
HD   6130,--,1,3,37.005,61,4,29.36,6.01,6.55,
*  26 Cet,--,1,3,49.028,1,22,0.65,6.065,6.318,
HD   6211,--,1,4,2.392,52,30,7.78,5.977,7.434,
HD   6210,--,1,4,19.451,61,34,48.66,5.833,6.386,
HD   6301,--,1,4,27.625,29,39,31.63,6.202,6.634,
HD   6403,--,1,4,32.576,-33,31,58.23,6.46,7.545,
*  73 Psc,--,1,4,52.638,5,39,22.56,6.007,7.535,
*  72 Psc,--,1,5,5.355,14,56,46.09,5.631,6.039,
*  27 Cet,--,1,5,36.883,-9,58,45.56,6.088,7.107,
*  74 Psc, A               ,1,5,40.955,21,28,23.45,5.273,5.263,
*  74 Psc, B               ,1,5,41.711,21,27,55.61,5.455,5.405,
*  28 Cet,--,1,6,5.149,-9,50,21.68,5.565,5.566,
* bet Phe,--,1,6,5.04,-46,43,6.28,3.3,4.19,
HD   6559,--,1,6,7.716,-23,59,32.95,6.114,7.18,
*  76 Psc,--,1,6,11.2,32,10,53.35,6.26,7.56,
*  75 Psc,--,1,6,33.627,12,57,21.73,6.144,7.105,
HD   6497,--,1,7,0.174,56,56,5.9,6.401,7.605,
HD   6540,--,1,7,9.458,53,29,53.47,6.29,7.84,
HD   6668,--,1,7,12.924,-23,59,46.81,6.353,6.583,
* iot Tuc,--,1,7,18.665,-61,46,31.04,5.342,6.211,
*  30 Cet,--,1,7,46.209,-9,47,7.98,5.705,6.14,
* ups Phe,--,1,7,47.843,-41,29,12.72,5.207,5.361,
* psi02 P,sc               ,1,7,57.173,20,44,20.71,5.563,5.685,
* mu. Cas,--,1,8,16.395,54,55,13.23,5.17,5.86,
* zet Phe,--,1,8,23.081,-55,14,44.73,4.014,3.908,
HD   6676,--,1,8,33.466,58,15,48.42,5.767,5.744,
* eta Cet,--,1,8,35.391,-10,10,56.16,3.45,4.61,
HD   5848,--,1,8,44.88,86,15,25.52,4.225,5.459,
HD   6473,--,1,9,12.184,80,0,41.69,6.23,7.17,
* phi And,--,1,9,30.126,47,14,30.46,4.25,4.18,
* bet And,--,1,9,43.924,35,37,14.01,2.05,3.62,
* psi03 P,sc               ,1,9,49.201,19,39,30.27,5.562,6.263,
HD   7082,--,1,10,7.373,-57,41,39.81,6.418,7.304,
HD   6966,--,1,10,11.442,15,40,26.09,6.043,7.608,
*  32 Cet,--,1,10,11.946,-8,54,22.09,6.394,7.42,
*  44 And,--,1,10,18.74,42,4,53.31,5.665,6.249,
HD   6953,--,1,10,19.45,25,27,27.95,5.797,7.281,
*  33 Cet,--,1,10,33.554,2,26,44.43,5.942,7.435,
*  31 Cas,--,1,10,39.321,68,46,43.04,5.309,5.28,
* tet Cas,--,1,11,6.162,55,8,59.65,4.33,4.51,
* g Psc  ,--,1,11,6.765,31,25,29.02,5.152,5.4,
*  45 And,--,1,11,10.277,37,43,26.85,5.786,5.69,
HD   6960,--,1,11,25.571,64,12,9.64,5.548,5.488,
* chi Psc,--,1,11,27.219,21,2,4.74,4.658,5.679,
HD   7107,--,1,11,28.973,10,17,30.87,6.493,7.384,
* tau Psc,--,1,11,39.619,30,5,22.7,4.511,5.605,
*  32 Cas,--,1,11,41.402,65,1,7.86,5.564,5.487,
*  34 Cet,--,1,11,43.509,-2,15,3.88,5.918,7.345,
HD   6798,--,1,12,16.817,79,40,26.27,5.6,5.62,
HD   7158,--,1,12,34.083,45,20,15.09,6.11,7.76,
V* AI Scl,--,1,12,45.432,-37,51,23.32,5.934,6.216,
HD   7229,--,1,12,59.475,30,3,51.22,6.23,7.22,
* phi Psc,--,1,13,44.946,24,35,1.32,4.66,5.69,
* zet Psc, B               ,1,13,45.255,7,34,41.68,6.32,6.8,
V* DT Psc,--,1,14,4.905,28,31,46.47,6.347,8.016,
*  87 Psc,--,1,14,7.627,16,8,0.57,5.962,5.873,
*  37 Cet,--,1,14,24.041,-7,55,22.17,5.13,5.59,
*  88 Psc,--,1,14,42.392,6,59,42.5,6.022,7.122,
*  38 Cet,--,1,14,49.172,0,58,25.66,5.69,6.12,
* nu. Phe,--,1,15,11.123,-45,31,54.01,4.96,5.54,
* kap Tuc,--,1,15,46.162,-68,52,33.34,4.25,4.73,
V* V762 C,as               ,1,16,11.901,71,44,37.83,5.86,7.78,
HD   6319,--,1,16,13.206,87,8,43.78,6.188,7.301,
HD   7578,--,1,16,18.922,33,6,52.99,6.026,7.207,
HD   7238,--,1,16,30.877,79,54,36.07,6.261,6.673,
*  39 Cet,--,1,16,36.288,-2,30,1.33,5.428,6.31,
CCDM J011,71-6624AB        ,1,17,3.758,-66,23,52.28,6.24,6.29,
HD   7647,--,1,17,5.064,44,54,7.17,6.11,7.72,
HD   7724,--,1,17,24.111,31,44,40.62,6.36,7.5,
* f Psc  ,--,1,17,47.957,3,36,52.08,5.137,5.21,
HD   7758,--,1,18,10.149,47,25,10.95,6.246,7.602,
HD   7853,--,1,18,47.009,37,23,10.56,6.497,6.714,
* ups Psc,--,1,19,27.993,27,15,50.62,4.748,4.789,
*  42 Cet,--,1,19,48.296,0,30,32.51,5.87,6.51,
* phi Cas,--,1,20,4.915,58,13,53.81,4.98,5.66,
HD   7732,--,1,20,19.397,77,34,14.47,6.318,7.23,
HD   8121,--,1,20,27.809,-11,14,20.38,6.147,7.252,
HD   8120,--,1,20,34.572,-3,14,49.17,6.246,7.25,
*  35 Cas,--,1,21,5.266,64,39,29.27,6.322,6.425,
* l Psc  ,--,1,21,7.373,28,44,17.55,5.223,6.63,
HD   7925,--,1,21,59.103,76,14,19.71,6.38,6.66,
* ksi And,--,1,22,20.419,45,31,43.61,4.868,5.951,
HD   8334,--,1,22,36.954,1,43,34.8,6.201,7.723,
HD   8388,--,1,23,24.949,20,28,8.29,5.971,7.669,
HD   8498,--,1,23,30.958,-30,56,44.21,5.819,7.418,
*  47 And,--,1,23,40.617,37,42,53.81,5.587,5.865,
HD   8065,--,1,23,46.801,78,43,33.81,6.064,6.411,
* tet Cet,--,1,24,1.405,-8,10,59.72,3.59,4.65,
*  44 Cet,--,1,24,2.539,-8,0,26.69,6.21,6.44,
HD   8556,--,1,24,20.502,-6,54,52.77,5.918,6.319,
HD   8589,--,1,24,39.938,-15,39,37.63,6.183,7.106,
HD   8651,--,1,24,40.787,-41,29,33.17,5.417,6.443,
HD   8681,--,1,24,41.915,-44,31,42.89,6.247,7.405,
HD   8599,--,1,24,48.681,-2,50,54.92,6.164,7.132,
HD   8810,--,1,25,5.307,-64,22,10.12,5.9,7.449,
HD   8634,--,1,25,35.677,23,30,41.47,6.187,6.625,
