n,h,m,s,znak,dd,dm,ds,mV,B-V
--,0,40,26.4,-,59,27,16,5.89,0.55
--,0,42,41.8,-,60,15,45,5.98,1.32
--,0,58,22.4,-,60,41,47,6.23,0.1
--,0,44,32.3,-,62,29,52,6.07,0.44
--,0,53,37.9,-,62,52,17,5.7,1.56
Bet1Tuc,0,31,32.7,-,62,57,29,4.37,-0.07
Bet2Tuc,0,31,33.6,-,62,57,57,4.54,0.15
Bet3Tuc,0,32,43.8,-,63,1,52,5.09,0.04
Zet Tuc,0,20,4.3,-,64,52,29,4.23,0.58
--,0,36,37.4,-,65,7,29,6.42,1.26
Rho Tuc,0,42,28.4,-,65,28,5,5.39,0.5
Lam1Tuc,0,52,24.3,-,69,30,16,6.22,0.56
Lam2Tuc,0,55,0.3,-,69,31,37,5.45,1.09
Pi  Tuc,0,20,39,-,69,37,30,5.51,-0.05
The Tuc,0,33,23.3,-,71,15,58,6.13,0.23
--,0,4,41.3,-,71,26,13,5.59,-0.12
--,0,4,30.7,-,72,53,52,7.31,0.44
--,0,38,40.8,-,73,8,14,6.85,0.11
--,0,10,38.6,-,73,13,28,6.64,0.37
Lam Hyi,0,48,35.4,-,74,55,24,5.07,1.37
--,0,15,55.2,-,75,54,41,6.49,1
The Oct,0,1,35.7,-,77,3,57,4.78,1.27
Bet Hyi,0,25,45.1,-,77,15,15,2.8,0.62
--,0,21,28.6,-,77,25,37,5.97,1.4
--,0,16,49,-,78,46,50,6.77,0.46
Gam3Oct,0,10,2.1,-,82,13,26,5.28,1.05
--,0,13,19.4,-,84,59,39,5.77,1.72
--,0,17,47.7,+,1,41,20,6.17,0.94
44    Psc,0,25,24.2,+,1,56,23,5.77,0.86
--,0,37,30.5,+,3,8,7,6.39,1.33
--,0,51,18.3,+,3,23,6,6.37,1.07
--,0,48,23,+,5,16,50,5.75,0.88
--,0,59,49.7,+,6,28,59,6.11,1.67
60    Psc,0,47,23.6,+,6,44,27,5.99,0.94
51    Psc,0,32,23.8,+,6,57,20,5.67,0
62    Psc,0,48,17.4,+,7,18,0,5.93,1.1
63Del Psc,0,48,41,+,7,35,6,4.43,1.5
41    Psc,0,20,35.9,+,8,11,25,5.37,1.34
36    Psc,0,16,34.1,+,8,14,24,6.11,0.92
32    Psc,0,2,29.7,+,8,29,8,5.63,0.29
35    Psc,0,14,58.8,+,8,49,15,5.79,0.31
31    Psc,0,2,24.2,+,8,57,25,6.32,0.18
--,0,28,20.1,+,10,11,23,6.04,0.43
34    Psc,0,10,2.3,+,11,8,44,5.51,-0.07
--,0,18,17.2,+,11,12,21,6.05,1.03
58    Psc,0,47,1.5,+,11,58,26,5.5,0.97
--,0,35,54.7,+,13,12,24,6.41,0.52
86    Peg,0,5,42,+,13,23,46,5.51,0.9
42    Psc,0,22,25.5,+,13,28,57,6.23,1.22
--,0,57,54.5,+,13,41,45,6.32,0.89
88Gam Peg,0,13,14.2,+,15,11,1,2.83,-0.23
53    Psc,0,36,47.3,+,15,13,54,5.89,-0.15
57    Psc,0,46,33,+,15,28,32,5.38,1.65
48    Psc,0,28,12.7,+,16,26,42,6.06,1.58
64    Psc,0,48,58.7,+,16,56,26,5.07,0.51
47    Psc,0,28,2.9,+,17,53,35,5.06,1.65
87    Peg,0,9,2.4,+,18,12,43,5.53,1.04
