n,h,m,s,znak,dd,dm,ds,mV,B-V
--,4,13,49.9,+,12,45,12,6.25,1.16
79    Tau,4,28,50.2,+,13,2,51,5.03,0.23
--,4,9,1.6,+,13,23,54,5.95,0.05
9Omi2Ori,4,56,22.3,+,13,30,52,4.07,1.15
83    Tau,4,30,37.3,+,13,43,28,5.4,0.26
--,4,20,52.8,+,13,51,51,6.17,0.46
57    Tau,4,19,57.7,+,14,2,7,5.59,0.28
60    Tau,4,22,3.5,+,14,4,38,5.72,0.32
4Omi1Ori,4,52,32,+,14,15,2,4.74,1.84
--,4,58,59.4,+,14,32,34,6.09,0.04
73Pi  Tau,4,26,36.4,+,14,42,49,4.69,0.98
76    Tau,4,28,23.4,+,14,44,27,5.9,0.32
86Rho Tau,4,33,50.9,+,14,50,40,4.65,0.25
--,4,55,50.3,+,15,2,24,5.81,-0.08
58    Tau,4,20,36.3,+,15,5,43,5.26,0.22
--,4,7,42,+,15,9,46,6.01,0.4
48    Tau,4,15,46.3,+,15,24,2,6.32,0.4
71    Tau,4,26,20.8,+,15,37,6,4.49,0.25
54Gam Tau,4,19,47.6,+,15,37,39,3.65,0.99
80    Tau,4,30,8.6,+,15,38,17,5.58,0.32
81    Tau,4,30,38.9,+,15,41,31,5.48,0.26
91Sig1Tau,4,39,9.2,+,15,47,59,5.07,0.15
85    Tau,4,31,51.8,+,15,51,6,6.02,0.34
78The2Tau,4,28,39.7,+,15,52,15,3.4,0.18
96    Tau,4,49,44.1,+,15,54,15,6.08,1.6
92Sig2Tau,4,39,16.5,+,15,55,5,4.69,0.15
70    Tau,4,25,37.3,+,15,56,27,6.46,0.49
77The1Tau,4,28,34.5,+,15,57,44,3.84,0.95
89    Tau,4,38,9.4,+,16,2,0,5.79,0.31
--,4,30,33.7,+,16,11,38,4.78,0.17
75    Tau,4,28,26.4,+,16,21,35,4.97,1.13
87Alp Tau,4,35,55.2,+,16,30,33,0.85,1.54
63    Tau,4,23,25,+,16,46,38,5.64,0.3
--,4,57,22.3,+,17,9,13,5.48,1.31
--,4,12,31.4,+,17,16,39,6.09,1.08
--,4,0,36.9,+,17,17,48,6.32,0.06
--,4,7,59.4,+,17,20,23,5.89,1.5
64Del2Tau,4,24,5.8,+,17,26,38,4.8,0.15
61Del1Tau,4,22,56.1,+,17,32,33,3.76,0.98
68Del3Tau,4,25,29.4,+,17,55,41,4.29,0.05
--,4,33,32.9,+,18,1,0,6.25,0.07
--,4,0,48.8,+,18,11,38,5.89,0.32
--,4,46,16.8,+,18,44,6,6.01,1.21
--,4,20,25.1,+,18,44,33,6.12,0.37
97    Tau,4,51,22.5,+,18,50,23,5.1,0.21
--,4,24,57.1,+,19,2,30,5.98,0.37
74Eps Tau,4,28,37,+,19,10,49,3.53,1.01
--,4,54,58.3,+,19,29,7,6.37,0.29
43Ome1Tau,4,9,10,+,19,36,33,5.5,1.07
50Ome2Tau,4,17,15.6,+,20,34,43,4.94,0.26
--,4,38,15.8,+,20,41,5,5.92,-0.05
--,4,22,22.8,+,20,49,17,5.91,1.66
--,4,23,32.4,+,20,58,56,5.99,0.03
53    Tau,4,19,26.1,+,21,8,32,5.35,-0.08
51    Tau,4,18,23.2,+,21,34,45,5.65,0.28
--,4,28,0.8,+,21,37,12,5.72,0.27
56    Tau,4,19,36.7,+,21,46,25,5.38,-0.14
39    Tau,4,5,20.2,+,22,0,32,5.9,0.62
37    Tau,4,4,41.7,+,22,4,55,4.36,1.07
67Kap2Tau,4,25,25,+,22,11,59,5.28,0.25
65Kap1Tau,4,25,22.1,+,22,17,38,4.22,0.13
--,4,12,51.2,+,22,24,49,6.12,0.19
69Ups Tau,4,26,18.5,+,22,48,49,4.28,0.26
94Tau Tau,4,42,14.7,+,22,57,25,4.28,-0.13
72    Tau,4,27,17.5,+,22,59,47,5.53,-0.1
--,4,36,29.2,+,23,20,27,6.02,0.38
--,4,45,42.5,+,23,37,41,6.35,0.06
99    Tau,4,57,48.7,+,23,56,55,5.79,1.11
95    Tau,4,43,13.8,+,24,5,20,6.13,0.54
36    Tau,4,4,21.7,+,24,6,21,5.47,0.86
62    Tau,4,23,59.8,+,24,18,4,6.36,0.17
--,4,56,15.6,+,24,35,32,6.37,0.33
98    Tau,4,58,9.4,+,25,3,1,5.81,0
--,4,39,23.1,+,25,13,6,6.22,0.16
59Chi Tau,4,22,34.9,+,25,37,45,5.37,-0.05
44    Tau,4,10,49.9,+,26,28,51,5.41,0.34
52Phi Tau,4,20,21.3,+,27,21,3,4.95,1.15
41    Tau,4,6,36.4,+,27,36,0,5.2,-0.13
--,4,52,47.1,+,27,53,51,5.97,0.37
--,4,41,19.8,+,28,36,54,5.78,-0.03
--,4,34,38,+,28,57,40,5.88,-0.06
42Psi Tau,4,7,0.5,+,29,0,5,5.23,0.34
--,4,28,51.9,+,30,21,41,6.4,0.52
--,4,49,12.8,+,31,26,14,5.58,1.12
--,4,26,6.3,+,31,26,20,5.28,0.97
--,4,20,10,+,31,57,12,6.16,1.71
--,4,30,38.3,+,32,27,29,6.21,-0.04
--,4,49,19,+,32,35,18,5.86,0.24
3Iot Aur,4,56,59.6,+,33,9,58,2.69,1.53
--,4,10,59,+,33,35,12,5.72,1.44
56    Per,4,24,37.4,+,33,57,35,5.76,0.4
55    Per,4,24,29.2,+,34,7,50,5.73,-0.06
54    Per,4,20,24.6,+,34,34,0,4.93,0.94
--,4,56,19.9,+,36,10,8,6.07,0.41
2    Aur,4,52,38,+,36,42,11,4.78,1.41
--,4,1,14.7,+,36,59,24,6.41,-0.01
--,4,49,54.6,+,37,29,18,4.88,1.44
49    Per,4,8,15.3,+,37,43,40,6.09,0.95
4Ome Aur,4,59,15.4,+,37,53,25,4.94,0.04
50    Per,4,8,36.6,+,38,2,23,5.51,0.46
--,4,41,50.3,+,38,16,49,5.99,0.57
--,4,31,24,+,40,0,37,6.26,0.04
--,4,46,44.4,+,40,18,46,5.97,0.93
52    Per,4,14,53.3,+,40,29,1,4.71,1.01
--,4,44,12.9,+,40,47,13,6.08,0.06
58    Per,4,36,41.4,+,41,15,53,4.25,1.22
--,4,20,14.4,+,41,48,29,5.92,0.94
--,4,18,8.2,+,42,8,28,6.22,-0.08
--,4,23,35.9,+,42,25,41,6.23,0
--,4,52,47.8,+,42,35,12,5.71,0.11
57    Per,4,33,24.9,+,43,3,50,6.09,0.38
59    Per,4,42,54.3,+,43,21,54,5.29,0
--,4,54,51.3,+,44,3,39,6.08,-0.02
53    Per,4,21,33.2,+,46,29,56,4.85,-0.03
48    Per,4,8,39.7,+,47,42,45,4.04,-0.03
--,4,41,24.1,+,48,18,3,5.67,-0.02
51Mu  Per,4,14,53.9,+,48,24,34,4.14,0.95
--,4,51,9.3,+,48,44,27,5.66,0.99
--,4,43,21.6,+,49,58,26,5.87,0.02
--,4,19,13.3,+,50,2,56,5.45,0.22
--,4,18,14.6,+,50,17,44,4.61,0.04
47Lam Per,4,6,35,+,50,21,5,4.29,0.02
--,4,20,11.5,+,50,55,15,5.55,-0.01
--,4,56,7.1,+,52,52,10,5.75,0.11
3    Cam,4,39,54.7,+,53,4,47,5.05,1.07
8    Cam,4,59,46.3,+,53,9,20,6.08,1.46
2    Cam,4,39,58.1,+,53,28,23,5.35,0.32
--,4,16,43.1,+,53,36,43,5.19,0.05
7    Cam,4,57,17.2,+,53,45,8,4.47,-0.02
1    Cam,4,32,1.8,+,53,54,39,5.77,0.18
--,4,6,36.6,+,54,0,31,6.31,0.99
5    Cam,4,55,3.1,+,55,15,33,5.52,0.04
4    Cam,4,48,0.3,+,56,45,26,5.3,0.25
--,4,15,1.8,+,57,27,37,6.08,0.61
--,4,27,0.9,+,57,35,7,6.32,0.04
--,4,17,8.2,+,57,51,38,5.71,1.09
--,4,4,27.2,+,59,9,20,5.06,0.5
--,4,9,27.6,+,59,54,29,6.28,1.14
--,4,21,47.6,+,60,44,8,5.39,1.49
--,4,16,53.6,+,61,51,1,5.7,-0.14
--,4,7,51.1,+,62,19,48,6.99,0.42
--,4,52,5.2,+,63,30,19,5.44,1.57
--,4,36,24.2,+,64,15,42,5.94,-0.03
--,4,20,40.3,+,65,8,26,5.27,0.81
--,4,6,39,+,65,31,15,6.17,0.14
9Alp Cam,4,54,3,+,66,20,34,4.29,0.03
--,4,12,51.6,+,68,30,6,6.32,1.18
--,4,6,3.1,+,68,40,48,5.87,1.54
--,4,50,36.4,+,70,56,30,6.37,-0.08
--,4,13,44.9,+,72,7,35,6.03,1.01
--,4,33,30.7,+,72,31,43,5.94,0.3
--,4,48,50.3,+,75,56,28,6.06,0.28
--,4,46,0.3,+,76,36,40,6.49,0.51
--,4,10,2.8,+,80,41,55,5.1,0.56
--,4,27,2.8,+,80,49,27,5.43,1.17
--,4,30,0.1,+,83,20,26,5.46,0.87
--,4,28,13,+,83,48,28,5.57,-0.13
--,4,10,1.5,+,86,37,34,5.86,0.37
--,5,23,42.3,-,0,9,35,5.7,-0.21
34Del Ori,5,32,0.5,-,0,17,4,6.85,-0.16
34Del Ori,5,32,0.4,-,0,17,57,2.23,-0.22
22    Ori,5,21,45.7,-,0,22,57,4.73,-0.17
--,5,21,31.8,-,0,24,59,5.68,-0.12
--,5,25,31.2,-,0,32,39,6.57,-0.05
--,5,10,3.2,-,0,33,55,6.1,1.1
--,5,23,51.4,-,0,52,2,6.11,0.5
27    Ori,5,24,28.9,-,0,53,29,5.08,0.96
--,5,58,11.7,-,0,59,39,6.22,1.14
--,5,34,3.9,-,1,2,8,6.22,-0.17
31    Ori,5,29,44,-,1,5,32,4.71,1.57
--,5,40,50.6,-,1,7,44,4.95,-0.21
--,5,33,31.4,-,1,9,22,5.34,-0.18
46Eps Ori,5,36,12.8,-,1,12,7,1.7,-0.19
--,5,15,18.4,-,1,24,33,6.15,0.39
--,5,19,35.2,-,1,24,44,6.34,-0.11
--,5,59,37.7,-,1,26,40,6.63,-0.07
--,5,34,4,-,1,28,14,5.93,1.55
--,5,32,41.3,-,1,35,31,5.35,-0.19
--,5,43,9.3,-,1,36,47,6.31,1.47
--,5,33,7.2,-,1,43,6,6.46,-0.09
50Zet Ori,5,40,45.5,-,1,56,34,2.05,-0.21
--,5,0,39.8,-,2,3,56,6.32,0.28
--,5,10,58,-,2,15,14,6.25,0.98
28Eta Ori,5,24,28.6,-,2,23,49,3.36,-0.17
--,5,11,19.2,-,2,29,27,5.9,0.46
--,5,38,47.1,-,2,35,39,6.65,-0.19
48Sig Ori,5,38,44.8,-,2,36,0,3.81,-0.24
--,5,40,37.3,-,2,49,30,6.22,-0.2
--,5,41,40.3,-,2,53,46,6.42,0.3
--,5,4,54.5,-,3,2,23,6.05,-0.11
--,5,35,35.8,-,3,15,10,6.4,-0.12
--,5,28,56.7,-,3,18,27,6.39,-0.01
--,5,29,23.6,-,3,26,47,5.79,1.15
--,5,39,31.2,-,3,33,53,6,0.27
--,5,54,34.7,-,4,3,50,6.57,-0.18
--,5,48,34.9,-,4,5,41,5.97,0.64
--,5,2,45.5,-,4,12,35,5.85,1.21
--,5,46,2.8,-,4,16,6,6.34,1.05
--,5,35,31.1,-,4,21,53,6.38,-0.14
--,5,35,22.5,-,4,25,31,6.24,-0.15
68    Eri,5,8,43.6,-,4,27,22,5.12,0.44
--,5,35,21.8,-,4,29,36,6.56,-0.13
--,5,55,30.3,-,4,36,59,5.87,1.18
66    Eri,5,6,45.7,-,4,39,18,5.12,-0.06
--,5,55,35.4,-,4,47,18,6.28,0.06
--,5,37,53.4,-,4,48,49,6.19,-0.04
42    Ori,5,35,23.2,-,4,50,18,4.59,-0.19
45    Ori,5,35,39.5,-,4,51,21,5.26,0.24
67Bet Eri,5,7,51,-,5,5,11,2.79,0.13
--,5,20,26.4,-,5,22,0,6.39,-0.03
41The1Ori,5,35,16.1,-,5,23,7,7.96,0.24
41The1Ori,5,35,15.9,-,5,23,14,6.73,0.02
41The1Ori,5,35,17.3,-,5,23,16,6.7,0.09
41The1Ori,5,35,16.5,-,5,23,23,5.13,0.02
43The2Ori,5,35,22.9,-,5,24,58,5.08,-0.09
--,5,26,2.4,-,5,31,6,6.23,-0.06
--,5,36,15,-,5,38,53,6.54,-0.18
--,5,0,49,-,5,45,12,6.22,1.06
44Iot Ori,5,35,26,-,5,54,36,2.77,-0.24
--,5,37,27.4,-,5,56,18,6.05,-0.22
--,5,35,2.7,-,6,0,7,4.78,-0.25
--,5,35,0.9,-,6,0,33,5.67,-0.23
--,5,12,48.2,-,6,3,26,5.91,0.96
--,5,36,35.7,-,6,3,54,5.72,-0.22
--,5,38,37.8,-,6,34,26,5.96,-0.23
--,5,31,20.9,-,6,42,30,6.22,-0.17
--,5,42,53.8,-,6,47,46,6.02,0.4
20Tau Ori,5,17,36.4,-,6,50,40,3.6,-0.11
65Psi Eri,5,1,26.3,-,7,10,26,4.81,-0.19
49    Ori,5,38,53.1,-,7,12,47,4.8,0.13
36Ups Ori,5,31,55.8,-,7,18,5,4.62,-0.26
--,5,30,20.7,-,7,26,5,6.33,-0.19
55    Ori,5,51,22,-,7,31,5,5.35,-0.2
29    Ori,5,23,56.8,-,7,48,29,4.14,0.96
--,5,13,33.3,-,8,8,52,6.37,-0.13
19Bet Ori,5,14,32.3,-,8,12,6,0.12,-0.03
--,5,23,18.5,-,8,24,57,5.9,-0.03
--,5,8,20.2,-,8,39,54,5.78,-0.06
69Lam Eri,5,9,8.8,-,8,45,15,4.27,-0.19
--,5,52,7.6,-,9,2,29,5.97,0.1
1    Mon,5,59,1,-,9,22,56,6.12,0.29
2    Mon,5,59,4.3,-,9,33,30,5.03,0.19
53Kap Ori,5,47,45.4,-,9,40,11,2.06,-0.17
--,5,39,30.8,-,9,42,24,6.5,-0.1
--,5,25,1.6,-,10,19,45,5.61,1.56
--,5,40,46,-,10,24,34,6.52,-0.16
--,5,47,26.7,-,10,31,59,6.03,0.16
--,5,54,43.6,-,11,46,26,5.66,1.53
--,5,37,8.8,-,11,46,32,6.11,0.05
--,5,11,22.8,-,11,50,57,5.68,1.46
3Iot Lep,5,12,17.9,-,11,52,9,4.45,-0.1
--,5,27,4.8,-,11,54,3,6.35,0.51
7Nu  Lep,5,19,59.1,-,12,18,56,5.3,-0.12
--,5,7,25,-,12,29,26,5.97,0.6
4Kap Lep,5,13,13.9,-,12,56,29,4.36,-0.1
--,5,6,36.7,-,13,7,19,6.05,-0.06
6Lam Lep,5,19,34.5,-,13,10,36,4.29,-0.26
--,5,17,40.2,-,13,31,11,5.5,0.93
--,5,21,51,-,13,45,22,6.56,-0.09
8    Lep,5,23,30.2,-,13,55,38,5.25,-0.21
16Eta Lep,5,56,24.3,-,14,10,4,3.71,0.33
--,5,3,52,-,14,22,10,6.41,-0.18
--,5,49,36.5,-,14,29,1,5.49,0.88
--,5,13,59.9,-,14,36,24,6.21,0.37
14Zet Lep,5,46,57.3,-,14,49,19,3.55,0.1
5Mu  Lep,5,12,55.9,-,16,12,20,3.31,-0.11
--,5,47,7.6,-,16,14,16,6.17,0.89
--,5,41,41.5,-,16,43,32,6.21,-0.13
--,5,24,28.4,-,16,58,34,5.65,0
--,5,16,48.1,-,17,8,30,6.56,-0.16
--,5,42,14.3,-,17,31,49,6.15,1.38
11Alp Lep,5,32,43.8,-,17,49,20,2.58,0.21
--,5,39,16.3,-,17,50,58,6.38,-0.12
--,5,18,50.4,-,18,7,48,5.96,0.58
--,5,19,18.3,-,18,30,35,6.54,-0.11
--,5,19,17.5,-,18,31,12,6.36,-0.16
--,5,43,21.6,-,18,33,27,5.73,-0.01
--,5,53,57.4,-,19,38,18,6.69,0.1
--,5,25,59.8,-,19,41,44,5.89,0.4
--,5,1,25.6,-,20,3,7,4.91,-0.05
--,5,44,28.4,-,20,7,35,6.34,0.58
9Bet Lep,5,28,14.7,-,20,45,34,2.84,0.82
10    Lep,5,31,7.6,-,20,51,49,5.55,0
15Del Lep,5,51,19.3,-,20,52,45,3.81,0.99
--,5,20,26.9,-,21,14,22,4.71,-0.05
--,5,27,36.5,-,21,22,32,6.07,1.04
2Eps Lep,5,5,27.7,-,22,22,16,3.19,1.46
12    Lep,5,42,13.9,-,22,22,25,5.87,0.11
--,5,44,26.5,-,22,25,18,6.15,0.94
13Gam Lep,5,44,27.8,-,22,26,54,3.6,0.47
1    Lep,5,2,44.9,-,22,47,42,5.75,1.2
--,5,56,14.3,-,22,50,25,5.96,1.11
--,5,51,28.6,-,22,55,34,6.17,1.02
--,5,49,53.5,-,22,58,18,5.87,0.06
--,5,56,34.5,-,23,12,56,6.36,1.07
--,5,3,53.3,-,24,23,16,5.61,0.1
--,5,21,46.2,-,24,46,23,5.06,0.67
--,5,10,44.5,-,25,54,34,6.41,1.25
--,5,5,16.2,-,26,9,9,5.73,1.17
--,5,2,9.8,-,26,16,30,5.02,1.07
--,5,23,12,-,26,42,21,6.49,0.5
--,5,15,24.3,-,26,56,36,5.07,-0.1
--,5,19,23.7,-,27,22,8,5.99,-0.04
Nu 1Col,5,37,16.5,-,27,52,17,6.16,0.34
--,5,47,4.7,-,28,38,21,6.22,-0.15
Nu 2Col,5,37,44.6,-,28,41,22,5.31,0.46
--,5,36,10.3,-,28,42,28,6.26,0.13
--,5,54,14.1,-,29,8,52,6.36,0.37
--,5,51,59.5,-,29,26,55,6.45,1.48
--,5,33,52.1,-,29,50,56,6.53,-0.02
--,5,29,6.7,-,30,7,0,6.75,1.06
--,5,42,11.6,-,30,32,8,6.19,0.01
--,5,2,22.8,-,31,46,17,5.94,1.17
--,5,56,49,-,31,58,34,6.44,1.07
Mu  Col,5,45,59.9,-,32,18,23,5.17,-0.28
--,5,39,49.8,-,32,37,45,5.45,0.92
--,5,35,15.4,-,33,4,48,5.78,1.12
--,5,41,27,-,33,24,2,6.34,-0.04
Lam Col,5,53,6.9,-,33,48,5,4.87,-0.15
Alp Col,5,39,38.9,-,34,4,27,2.64,-0.12
--,5,21,16.9,-,34,20,43,6.09,-0.19
--,5,42,15.1,-,34,40,4,5.29,-0.05
--,5,20,20.6,-,34,41,56,6.34,0.33
Omi Col,5,17,29.1,-,34,53,43,4.83,1
--,5,15,47,-,34,55,36,6.66,0.15
--,5,33,7.4,-,35,8,23,5.78,1.07
Gam Col,5,57,32.2,-,35,17,0,4.36,-0.18
Eps Col,5,31,12.7,-,35,28,14,3.87,1.14
Gam1Cae,5,4,24.4,-,35,29,0,4.55,1.2
--,5,47,18.6,-,35,40,29,6.32,1.18
Gam2Cae,5,4,26.1,-,35,42,19,6.34,0.3
--,5,8,14.8,-,35,43,6,6.52,1.08
Bet Col,5,50,57.6,-,35,46,6,3.12,1.16
--,5,13,46.5,-,35,49,32,6.98,1.47
--,5,14,28.8,-,35,58,38,5.76,1.01
Xi  Col,5,55,29.9,-,37,7,15,4.97,1.11
--,5,28,15.3,-,37,13,50,5.57,0.02
--,5,23,39,-,37,20,12,6.82,1.04
--,5,11,35.9,-,37,23,43,6.57,1.62
--,5,52,33.2,-,37,37,52,5.63,1.04
--,5,32,51.3,-,38,30,47,5.48,1.22
--,5,52,47.7,-,38,31,33,6.7,1.08
--,5,43,30.2,-,39,24,25,6.25,0.37
--,5,23,24,-,39,40,43,5.71,1.62
--,5,1,34.5,-,39,43,5,6.03,0.88
--,5,54,52.5,-,39,57,29,5.57,1.51
--,5,47,58.1,-,40,39,9,6.61,1.12
--,5,38,43.6,-,40,42,27,5.82,-0.09
--,5,27,5.3,-,40,56,37,5.87,0.23
--,5,3,54,-,41,44,42,6.31,0.53
Eta Col,5,59,8.8,-,42,48,55,3.96,1.14
--,5,53,22.9,-,42,55,17,6.55,1.37
--,5,58,37.6,-,44,2,4,5.81,1.07
--,5,24,55.6,-,44,13,33,6.08,1.2
--,5,49,34.1,-,44,52,31,6.38,1.27
--,5,43,41.1,-,45,49,59,6.39,0.29
--,5,31,36.1,-,45,55,31,5.86,1.35
--,5,46,27.4,-,46,35,50,5.31,1.04
--,5,30,9.5,-,47,4,40,5.46,0.62
--,5,36,2.7,-,47,18,50,6.11,1.16
Eta1Pic,5,2,48.6,-,49,9,5,5.38,0.42
Eta2Pic,5,4,58,-,49,34,40,5.03,1.49
--,5,54,41.1,-,49,37,37,6.1,-0.13
--,5,54,10.7,-,50,21,43,6.52,0.9
Zet Pic,5,19,22.1,-,50,36,22,5.45,0.51
Bet Pic,5,47,17.1,-,51,3,59,3.85,0.17
--,5,13,53.3,-,52,1,52,6.05,1.39
--,5,50,53.2,-,52,6,32,5.17,0.99
--,5,15,38.9,-,52,10,55,6.49,1.21
The Pic,5,24,46.2,-,52,18,59,6.27,0.07
--,5,54,50.2,-,52,38,7,5.29,0.31
--,5,50,28.6,-,52,46,4,6.35,0.76
--,5,57,14.4,-,53,25,34,6.45,1.48
--,5,47,13,-,54,21,39,6.18,1.4
--,5,5,0.6,-,54,24,27,6.27,1.54
--,5,33,44.4,-,54,54,8,6.43,0.55
Kap Pic,5,22,22.1,-,56,8,4,6.11,-0.1
Gam Pic,5,49,49.7,-,56,10,0,4.51,1.1
--,5,52,20.3,-,57,9,22,5.94,0.66
Zet Dor,5,5,30.6,-,57,28,22,4.72,0.52
--,5,35,2.4,-,58,52,16,6.75,1.45
Lam Dor,5,26,19.3,-,58,54,45,5.14,1
--,5,34,57.6,-,61,10,33,6.32,0.85
--,5,29,17.4,-,62,18,52,6.59,1.53
Bet Dor,5,33,37.5,-,62,29,23,3.76,0.82
--,5,54,6.1,-,63,5,24,4.65,1.05
--,5,7,34,-,63,23,59,5.2,1.65
--,5,30,15.9,-,63,55,40,6.19,0.22
--,5,51,23,-,64,2,1,6.36,0.86
--,5,32,59.6,-,64,13,39,5.34,1.04
--,5,54,11.9,-,64,28,56,6.63,0.38
Del Dor,5,44,46.4,-,65,44,8,4.35,0.21
--,5,36,54.7,-,66,33,37,6.31,-0.07
Eps Dor,5,49,53.6,-,66,54,4,5.11,-0.14
The Dor,5,13,45.4,-,67,11,7,4.83,1.28
--,5,27,0,-,68,37,22,6.03,0.34
Bet Men,5,2,43,-,71,18,52,5.31,1
Lam Men,5,47,48.1,-,72,42,8,6.53,1.08
--,5,6,9.3,-,73,2,16,6.27,-0.01
--,5,34,44.7,-,73,44,29,5.78,1.71
Gam Men,5,31,52.9,-,76,20,28,5.19,1.13
--,5,0,13.2,-,78,18,1,6.29,1.51
Iot Men,5,35,36.3,-,78,49,15,6.05,-0.02
Kap Men,5,50,16.7,-,79,21,41,5.47,-0.08
Pi  Men,5,37,9.8,-,80,28,9,5.65,0.6
--,5,12,25.7,-,81,32,30,6.51,1.11
--,5,30,13.9,-,84,47,6,6.2,-0.02
--,5,41,5.6,+,0,20,16,5.93,0.3
--,5,11,41.4,+,0,30,53,6.67,-0.07
--,5,25,47,+,0,31,15,6.16,-0.18
60    Ori,5,58,49.6,+,0,33,11,5.22,0.01
--,5,13,47.2,+,0,33,37,6.32,1.46
--,5,1,50.3,+,0,43,20,5.92,1.27
--,5,54,44.1,+,0,58,6,6,1.34
--,5,11,45.3,+,1,2,13,5.89,0.66
--,5,46,35,+,1,10,5,5.95,0.78
--,5,5,23.7,+,1,10,39,6.17,3.45
--,5,57,54.2,+,1,13,28,6.22,1.48
--,5,28,1.6,+,1,17,54,6.41,-0.18
--,5,33,57.6,+,1,24,28,6.59,-0.17
51    Ori,5,42,28.6,+,1,28,29,4.91,1.17
--,5,2,0,+,1,36,32,6.24,-0.04
--,5,29,54.8,+,1,47,21,5.78,-0.2
59    Ori,5,58,24.4,+,1,50,13,5.9,0.21
25Psi1Ori,5,24,44.8,+,1,50,47,4.95,-0.2
56    Ori,5,52,26.4,+,1,51,18,4.78,1.38
--,5,16,41.1,+,1,56,50,6.42,-0.02
--,5,13,31.6,+,1,58,5,6.09,0.42
--,5,50,30,+,2,1,28,5.98,0.91
--,5,24,36.2,+,2,21,10,6.32,-0.15
21    Ori,5,19,11.2,+,2,35,45,5.34,0.41
17Rho Ori,5,13,17.5,+,2,51,40,4.46,1.19
30Psi2Ori,5,26,50.2,+,3,5,44,4.59,-0.21
--,5,54,15.7,+,3,13,31,6.31,1.29
33    Ori,5,31,14.5,+,3,17,32,5.46,-0.18
23    Ori,5,22,50,+,3,32,40,5,-0.15
--,5,0,33.9,+,3,36,58,6.66,-0.07
38    Ori,5,34,16.7,+,3,46,1,5.36,0.05
--,5,45,1.9,+,4,0,29,6.09,0.31
--,5,21,19.3,+,4,0,43,6.57,-0.09
47Ome Ori,5,39,11.1,+,4,7,17,4.57,-0.11
--,5,30,19.8,+,4,12,15,6.21,1.27
--,5,50,13.1,+,4,25,24,5.97,1.36
--,5,14,44.1,+,5,9,22,5.5,1.37
--,5,23,31.1,+,5,19,21,6.35,0.12
32    Ori,5,30,47.1,+,5,56,53,4.2,-0.14
24Gam Ori,5,25,7.9,+,6,20,59,1.64,-0.22
52    Ori,5,48,0.2,+,6,27,15,5.27,0.23
--,5,26,38.8,+,6,52,9,6.42,-0.02
58Alp Ori,5,55,10.3,+,7,24,25,0.5,1.85
--,5,38,1.1,+,7,32,29,5.88,-0.07
--,5,21,43.6,+,8,25,43,5.8,-0.13
14    Ori,5,7,52.9,+,8,29,54,5.34,0.33
--,5,37,19.3,+,8,57,7,6.12,-0.17
40Phi2Ori,5,36,54.3,+,9,17,26,4.09,0.95
13    Ori,5,7,38.3,+,9,28,19,6.17,0.62
37Phi1Ori,5,34,49.2,+,9,29,22,4.41,-0.16
--,5,56,28,+,9,30,35,5.99,-0.07
--,5,46,52.1,+,9,31,20,5.79,0.88
16    Ori,5,9,19.6,+,9,49,46,5.43,0.24
--,5,50,2.6,+,9,52,16,5.8,0.87
39Lam Ori,5,35,8.3,+,9,56,3,3.54,-0.18
39Lam Ori,5,35,8.5,+,9,56,6,5.61,0.04
--,5,35,13.4,+,10,14,24,5.6,0.12
--,5,54,13.4,+,10,35,13,6.12,1.47
--,5,37,4.4,+,11,2,6,5.94,1.58
18    Ori,5,16,4.1,+,11,20,29,5.56,-0.04
--,5,56,49.5,+,11,31,16,5.87,1.1
--,5,54,32.2,+,11,45,45,6.59,0.03
134    Tau,5,49,32.9,+,12,39,4,4.91,-0.07
--,5,58,53.2,+,12,48,31,5.7,0.89
--,5,28,34.8,+,13,40,44,6.35,0.15
133    Tau,5,47,42.9,+,13,53,59,5.29,-0.17
--,5,56,3.5,+,13,55,31,6.6,0.65
137    Tau,5,52,22.3,+,14,10,18,5.59,-0.05
135    Tau,5,50,28.9,+,14,18,20,5.52,1.01
35    Ori,5,33,54.3,+,14,18,20,5.64,-0.14
131    Tau,5,47,13.2,+,14,29,18,5.72,0.04
--,5,27,13.8,+,15,15,28,6.16,0.08
--,5,30,26.1,+,15,21,37,5.94,0.14
11    Ori,5,4,34.1,+,15,24,15,4.68,-0.06
15    Ori,5,9,42,+,15,35,50,4.82,0.32
129    Tau,5,46,45.5,+,15,49,21,6,-0.06
116    Tau,5,27,45.6,+,15,52,27,5.5,0.01
--,5,11,41.6,+,16,2,44,5.18,1.49
126    Tau,5,41,17.7,+,16,32,2,4.86,-0.13
110    Tau,5,23,37.7,+,16,41,58,6.08,0.14
113    Tau,5,26,5.7,+,16,42,1,6.25,-0.08
122    Tau,5,37,3.8,+,17,2,25,5.54,0.22
--,5,32,14.2,+,17,3,29,5.46,-0.04
117    Tau,5,28,1.6,+,17,14,20,5.77,1.63
111    Tau,5,24,25.4,+,17,23,0,4.99,0.53
130    Tau,5,47,26.2,+,17,43,45,5.49,0.3
115    Tau,5,27,10.1,+,17,57,44,5.42,-0.1
120    Tau,5,33,31.6,+,18,32,25,5.69,0.01
119    Tau,5,32,12.8,+,18,35,40,4.38,2.07
104    Tau,5,7,27,+,18,38,42,5,0.65
57    Ori,5,54,56.7,+,19,44,59,5.92,-0.17
--,5,5,32.1,+,19,48,23,6.44,0.21
